name,types,levitate,weight,hp,attack,defense,special_attack,special_defense,speed,weakness_bug,weakness_dark,weakness_dragon,weakness_electric,weakness_fairy,weakness_fighting,weakness_fire,weakness_flying,weakness_ghost,weakness_grass,weakness_ground,weakness_ice,weakness_normal,weakness_poison,weakness_psychic,weakness_rock,weakness_steel,weakness_water
Copperajah,steel;none,0,650,122,130,69,80,69,30,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
Corphish,water;none,0,11.5,43,80,65,50,35,35,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Corsola,water;rock,0,5,65,55,95,65,95,35,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
Corviknight,flying;steel,0,75,98,87,105,53,85,67,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1
Corvisquire,flying;none,0,16,68,67,55,43,55,77,0.5,1,1,2,1,0.5,1,1,1,0.5,0,2,1,1,1,2,1,1
Cosmoem,psychic;none,0,999.9,43,29,131,29,131,37,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Cosmog,psychic;none,0,0.1,43,29,31,29,31,37,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Cottonee,grass;fairy,0,0.6,40,27,60,37,50,66,1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5
Crabominable,fighting;ice,0,180,97,132,77,62,67,43,0.5,0.5,1,1,2,2,2,2,1,1,1,0.5,1,1,2,1,2,1
Crabrawler,fighting;none,0,7,47,82,57,42,47,63,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Cradily,rock;grass,0,60.4,86,81,97,81,107,43,2,1,1,0.5,1,2,1,1,1,1,1,2,0.5,1,1,1,2,1
Cramorant,flying;water,0,18,70,85,55,85,95,85,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
Cranidos,rock;none,0,31.5,67,125,40,30,30,58,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Crawdaunt,water;dark,0,32.8,63,120,85,90,55,55,2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5
Cresselia,psychic;none,1,85.6,120,70,120,75,130,85,2,2,1,1,1,0.5,1,1,2,1,0,1,1,1,0.5,1,1,1
Croagunk,poison;fighting,0,23,48,61,40,61,40,50,0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1
Crobat,poison;flying,0,75,85,90,80,70,80,130,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
Crocalor,fire,0,30.7,81,55,78,90,58,49,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Croconaw,water;none,0,25,65,80,80,59,63,58,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Crustle,bug;rock,0,200,70,105,125,65,75,45,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
Cryogonal,ice;none,1,148,80,50,50,95,135,105,1,1,1,1,1,2,2,1,1,1,0,0.5,1,1,1,2,2,1
Cubchoo,ice;none,0,8.5,55,70,40,60,40,40,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Cubone,ground;none,0,6.5,50,50,95,40,50,35,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Cufant,steel;none,0,100,72,80,49,40,49,40,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1
Cursola,ghost;none,0,0.4,60,95,50,145,130,30,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Cutiefly,bug;fairy,0,0.2,40,45,40,55,40,84,0.5,0.5,0,1,1,0.25,2,2,1,0.5,0.5,1,1,2,1,2,2,1
Cyclizar,dragon;normal,0,63,70,95,65,85,65,121,1,1,2,0.5,2,2,0.5,1,0,0.5,1,2,1,1,1,1,1,0.5
Cyndaquil,fire;none,0,7.9,39,52,43,60,50,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Dachsbun,fairy,0,14.9,57,80,115,50,80,95,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Darkrai,dark;none,0,50.5,70,90,90,135,90,125,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Darmanitan Standard Mode,fire;none,0,92.9,105,140,55,30,55,95,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Darmanitan Zen Mode,fire;psychic,0,92.9,105,30,105,140,105,55,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2
Dartrix,grass;flying,0,16,78,75,75,70,70,52,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
Darumaka,fire;none,0,37.5,70,90,45,15,45,50,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Dawn Wings Necrozma,psychic;ghost,0,350,97,113,109,157,127,77,1,3,1,1,1,0,1,1,3,1,1,1,0,0.5,0.5,1,1,1
Decidueye,grass;ghost,0,36.6,78,107,75,100,100,70,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5
Dedenne,electric;fairy,0,2.2,67,58,57,81,67,101,0.5,0.5,0,0.5,1,0.5,1,0.5,1,1,2,1,1,2,1,1,1,1
Deerling,normal;grass,0,19.5,60,60,50,40,50,75,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
Deino,dark;dragon,0,17.3,52,65,50,45,50,38,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5
Delcatty,normal;none,0,32.6,70,65,65,55,55,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Delibird,ice;flying,0,16,45,55,45,65,45,75,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
Delphox,fire;psychic,0,39,75,69,72,114,100,104,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2
Deoxys Defense Forme,psychic;none,0,60.8,50,70,160,70,160,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Deoxys Normal Forme,psychic;none,0,60.8,50,150,50,150,50,150,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Deoxys Speed Forme,psychic;none,0,60.8,50,95,90,95,90,180,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
DeoxysAttack Forme,psychic;none,0,60.8,50,180,20,180,20,150,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Dewgong,water;ice,0,120,90,70,80,70,95,70,1,1,1,2,1,2,0.5,1,1,2,1,0.125,1,1,1,2,1,0.5
Dewott,water;none,0,24.5,75,75,60,83,60,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Dewpider,water;bug,0,4,38,40,52,40,72,27,1,1,1,2,1,0.5,0.5,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5
Dhelmise,ghost;grass,0,210,70,131,100,86,90,40,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5
Dialga,steel;dragon,0,683,100,120,120,150,100,90,0.5,1,1,0.5,1,2,1,0.5,1,0.25,2,1,0.5,0,0.5,0.5,0.5,0.5
Diancie,rock;fairy,0,8.8,50,100,150,100,150,50,0.5,0.5,0,1,1,1,0.5,0.5,1,2,2,1,0.5,1,1,1,4,2
Diggersby,normal;ground,0,42.4,85,56,77,50,77,78,1,1,1,0,1,2,1,1,0,2,1,2,1,0.5,1,0.5,1,2
Diglett,ground;none,0,0.8,10,55,25,35,45,95,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Ditto,normal;none,0,4,48,48,48,48,48,48,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Dodrio,normal;flying,0,85.2,60,110,70,60,60,110,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Doduo,normal;flying,0,39.2,35,85,45,35,35,75,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Dolliv,normal;grass,0,11.9,52,53,60,78,78,33,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
Dondozo,water,0,220,150,100,115,65,65,35,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Donphan,ground;none,0,120,90,120,120,60,60,50,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Dottler,bug;psychic,0,19.5,50,35,80,50,90,30,2,2,1,1,1,0.25,2,2,2,0.5,0.5,1,1,1,0.5,2,1,1
Doublade,steel;ghost,0,4.5,59,110,150,45,49,35,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1
Dracovish,water;dragon,0,215,90,90,100,70,80,75,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0
Dracozolt,electric;dragon,0,190,90,100,90,80,70,75,1,1,2,0,2,1,0.5,0.5,1,0.5,2,2,1,1,1,1,0.5,0.5
Dragalge,poison;dragon,0,81.5,65,75,90,97,123,44,0.5,1,2,0.5,1,0.5,0.5,1,1,0.25,2,2,1,0.5,2,1,1,0.5
Dragapult,dragon;ghost,0,50,88,120,75,100,75,142,0.5,2,2,0.5,2,0,0.5,1,2,0.5,1,2,0,0.5,1,1,1,0.5
Dragonair,dragon;none,0,16.5,61,84,65,70,70,70,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Dragonite,dragon;flying,0,210,91,134,95,100,100,80,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
Drakloak,dragon;ghost,0,11,68,80,50,60,50,102,0.5,2,2,0.5,2,0,0.5,1,2,0.5,1,2,0,0.5,1,1,1,0.5
Drampa,normal;dragon,0,185,78,60,85,135,91,36,1,1,2,0.5,2,2,0.5,1,0,0.5,1,2,1,1,1,1,1,0.5
Drapion,poison;dark,0,61.5,70,90,110,60,75,95,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1
Dratini,dragon;none,0,3.3,41,64,45,50,50,50,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Drednaw,water;rock,0,115.5,90,115,90,48,68,74,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
Dreepy,dragon;ghost,0,2,28,60,30,40,30,82,0.5,2,2,0.5,2,0,0.5,1,2,0.5,1,2,0,0.5,1,1,1,0.5
Drifblim,ghost;flying,0,15,150,80,44,90,54,80,0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1
Drifloon,ghost;flying,0,1.2,90,50,34,60,44,70,0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1
Drilbur,ground;none,0,8.5,60,85,40,30,45,68,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Drizzile,water;none,0,11.5,65,60,55,95,55,90,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Drowzee,psychic;none,0,32.4,60,48,45,43,90,42,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Druddigon,dragon;none,0,139,77,120,90,60,90,48,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Dubwool,normal;none,0,43,72,80,100,60,90,88,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1
Ducklett,water;flying,0,5.5,62,44,50,44,50,55,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
Dugtrio,ground;none,0,33.3,35,100,50,50,70,120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
Dundunsparce,normal,0,43.3,125,100,80,85,75,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Dunsparce,normal;none,0,14,100,70,70,65,65,45,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Duosion,psychic;none,0,8,65,40,50,125,60,30,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Duraludon,steel;dragon,0,40,70,95,115,120,50,85,0.5,1,1,0.5,1,2,1,0.5,1,0.25,2,1,0.5,0,0.5,0.5,0.5,0.5
Durant,bug;steel,0,33,58,109,112,48,48,109,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
Dusclops,ghost;none,0,30.6,40,70,130,60,130,25,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Dusk Mane Necrozma,psychic;steel,0,460,97,157,127,113,109,77,1,1.5,0.5,1,0.5,1,1.5,0.5,1.5,0.5,1.5,0.5,0.5,0,0.25,0.5,0.5,1
Dusknoir,ghost;none,0,106.6,45,100,135,65,135,45,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Duskull,ghost;none,1,15,20,40,90,30,90,25,0.5,2,1,1,1,0,1,1,2,1,0,1,0,0.5,1,1,1,1
Dustox,bug;poison,0,31.6,60,50,70,50,90,65,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
Dwebble,bug;rock,0,14.5,50,65,85,35,35,55,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
Eelektrik,electric;none,1,22,65,85,70,75,70,40,1,1,1,0.5,1,1,1,0.5,1,1,0,1,1,1,1,1,0.5,1
Eelektross,electric;none,1,80.5,85,115,80,105,80,50,1,1,1,0.5,1,1,1,0.5,1,1,0,1,1,1,1,1,0.5,1
Eevee,normal;none,0,6.5,55,55,50,45,65,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Eiscue Ice Face,ice;none,0,89,75,80,110,65,90,50,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Eiscue No Ice Face,ice;none,0,89,75,80,70,65,50,130,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Ekans,poison;none,0,6.9,35,60,44,40,54,55,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
Eldegoss,grass;none,0,2.5,60,50,90,80,120,60,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Electabuzz,electric;none,0,30,65,83,57,95,85,105,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Electivire,electric;none,0,138.6,75,123,67,95,85,95,1,1,1,0,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Electrike,electric;none,0,15.2,40,45,40,65,40,65,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Electrode,electric;none,0,66.6,60,50,70,80,80,150,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Elekid,electric;none,0,23.5,45,63,37,65,55,95,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Elgyem,psychic;none,0,9,55,55,55,85,55,30,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Emboar,fire;fighting,0,150,110,123,65,100,65,65,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
Emolga,electric;flying,0,5,55,75,60,75,60,103,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
Empoleon,water;steel,0,84.5,84,86,88,111,101,60,0.5,1,0.5,2,0.5,2,1,0.5,1,1,2,0.25,0.5,0,0.5,0.5,0.25,0.5
Enamorus Incarnate Forme,fairy;flying,0,48,74,115,70,135,80,106,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
Enamorus Therian Forme,fairy;flying,0,48,74,115,110,135,100,46,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
Entei,fire;none,0,198,115,115,85,90,75,100,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Escavalier,bug;steel,0,33,70,135,105,60,105,20,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
Espathra,psychic,0,90,95,60,60,101,60,105,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Espeon,psychic;none,0,26.5,65,65,60,130,95,110,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Espurr,psychic;none,0,3.5,62,48,54,63,60,68,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Eternatus,poison;dragon,0,950,140,85,95,145,95,130,0.5,1,2,0.5,1,0.5,0.5,1,1,0.25,2,2,1,0.5,2,1,1,0.5
Excadrill,ground;steel,0,40.4,110,135,60,50,65,88,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
Exeggcute,grass;psychic,0,2.5,60,40,80,60,45,40,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
Exeggutor,grass;psychic,0,120,95,95,85,125,75,55,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
Exploud,normal;none,0,84,104,91,63,91,73,68,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Falinks,fighting;none,0,62,65,100,100,70,60,75,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
Fan Rotom,electric;flying,1,0.3,50,65,107,105,107,86,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
Farfetch'd,normal;flying,0,15,52,90,55,58,62,60,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Farigiraf,normal;psychic,0,160,120,90,70,110,70,60,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
Fearow,normal;flying,0,38,65,90,65,61,61,100,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Feebas,water;none,0,7.4,20,15,20,10,55,80,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Fennekin,fire;none,0,9.4,40,45,40,62,60,60,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Feraligatr,water;none,0,88.8,85,105,100,79,83,78,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Ferroseed,grass;steel,0,18.8,44,50,91,24,86,10,1,1,0.5,0.5,0.5,2,4,1,1,0.25,1,1,0.5,0,0.5,0.5,0.5,0.5
Ferrothorn,grass;steel,0,110,74,94,131,54,116,20,1,1,0.5,0.5,0.5,2,4,1,1,0.25,1,1,0.5,0,0.5,0.5,0.5,0.5
Fidough,fairy,0,10.9,37,55,70,30,55,65,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Finizen,water,0,60.2,70,45,40,45,40,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Finneon,water;none,0,7,49,49,56,49,61,66,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Flaaffy,electric;none,0,13.3,70,55,55,80,60,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Flabebe,fairy;none,0,0.1,44,38,39,61,79,42,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Flamigo,fighting;flying,0,37,82,115,74,75,64,90,0.25,0.5,1,2,2,0.5,1,2,1,0.5,0,2,1,1,2,1,1,1
Flapple,grass;dragon,0,1,70,110,80,95,60,70,2,1,2,0.25,2,1,1,2,1,0.25,0.5,4,1,2,1,1,1,0.25
Flareon,fire;none,0,25,65,130,60,95,110,65,0.5,1,1,1,0.5,1,0,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Fletchinder,fire;flying,0,16,62,73,55,56,52,84,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
Fletchling,normal;flying,0,1.7,45,50,43,40,38,62,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
Flittle,psychic,0,1.5,30,35,30,55,30,75,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Floatzel,water;none,0,33.5,85,105,55,85,50,115,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Floette,fairy;none,0,0.9,54,45,47,75,98,52,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Floragato,grass,0,12.2,61,80,63,60,63,83,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Florges,fairy;none,0,10,78,65,68,112,154,75,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Flutter Mane,fairy;ghost,0,4,55,55,55,135,135,135,0.25,1,0,1,1,0,1,1,2,1,1,1,0,1,1,1,2,1
Flygon,ground;dragon,1,82,80,100,80,80,80,100,1,1,2,0,2,1,0.5,1,1,1,0,4,1,0.5,1,0.5,1,1
Fomantis,grass;none,0,1.5,40,55,35,50,35,35,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Foongus,grass;poison,0,1,69,55,45,55,55,15,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
Forretress,bug;steel,0,125.8,75,90,140,60,60,40,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
Fraxure,dragon;none,0,36,66,117,70,40,50,67,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
Frigibax,ice;dragon,0,17,65,75,45,35,45,55,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Frillish,water;ghost,0,33,55,40,50,65,85,40,0.5,2,1,2,1,0,0.5,1,2,2,1,0.5,0,0.5,1,1,0.5,0
Froakie,water;none,0,7,41,56,40,62,44,71,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Frogadier,water;none,0,10.9,54,63,52,83,56,97,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
Froslass,ice;ghost,0,26.6,70,80,70,80,70,110,0.5,2,1,1,1,0,2,1,2,1,1,0.5,0,0.5,1,2,2,1
Frosmoth,ice;bug,0,42,70,65,60,125,90,65,1,1,1,1,1,1,4,2,1,0.5,0.5,0.5,1,1,1,4,2,1
Frost Rotom,electric;ice,1,0.3,50,65,107,105,107,86,1,1,1,0.5,1,2,2,0.5,1,1,0,0.5,1,1,1,2,1,1
Fuecoco,fire,0,9.8,67,45,59,63,40,36,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Furfrou,normal;none,0,28,75,80,60,65,90,102,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Furret,normal;none,0,32.5,85,76,64,45,55,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Gabite,dragon;ground,0,56,68,90,65,50,55,82,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
Galarian Corsola,ghost;none,0,0.5,60,55,100,65,100,30,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
Galarian Darumaka,ice;none,0,40,70,90,45,15,45,50,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Galarian Linoone,dark;normal,0,32.5,78,70,61,50,61,100,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1
Galarian Ponyta,psychic;none,0,24,50,85,55,65,65,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Galarian Rapidash,psychic;fairy,0,80,65,100,70,80,80,105,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
Galarian Slowpoke,psychic;none,0,36,90,65,65,40,40,15,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Galarian Standard Mode Darmanitan,ice;none,0,120,105,140,55,30,55,95,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Galarian Stunfisk,ground;steel,0,20.5,109,81,99,66,84,32,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
Galarian Weezing,poison;fairy,1,16,65,90,120,85,70,60,0.25,0.5,0,1,0.5,0.25,1,1,1,0.5,0,1,1,1,2,1,2,1
Galarian Yamask,ground;ghost,0,1.5,38,55,85,30,65,30,0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2
Galarian Zen Mode Darmanitan,ice;fire,0,120,105,160,55,30,55,135,0.5,1,1,1,0.5,2,1,1,1,0.5,2,0.25,1,1,1,4,1,2
Galarian Zigzagoon,dark;normal,0,17.5,38,30,41,30,41,60,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1
Gallade,psychic;fighting,0,52,68,125,65,65,115,80,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1
Galvantula,bug;electric,0,14.3,70,77,60,97,60,108,1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1
Garbodor,poison;none,0,107.3,80,95,82,60,82,75,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
Garchomp,dragon;ground,0,95,108,130,95,80,85,102,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
Gardevoir,psychic;fairy,0,48.4,68,65,65,125,115,80,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
Garganacl,rock,0,240,100,100,130,45,90,35,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
Gastly,ghost;poison,1,0.1,30,35,30,100,35,80,0.25,2,1,1,0.5,0,1,1,2,0.5,0,1,0,0.25,2,1,1,1
Gastrodon,water;ground,0,29.9,111,83,68,92,82,39,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
Genesect,bug;steel,0,82.5,71,120,95,120,95,99,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
Gengar,ghost;poison,0,40.5,60,65,60,130,75,110,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
Geodude,rock;ground,0,20,40,80,100,30,30,20,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
Gholdengo,steel;ghost,0,30,87,60,95,133,91,84,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1
Gible,dragon;ground,0,20.5,58,70,45,40,45,42,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1
